gene_name	log2(fold_change)	p_value
Rh2	6,7131	5,00E-05
LManV	5,61653	0,0013
CG14075	5,46864	0,00185
CG8401	5,42389	0,0013
Akh	5,39129	0,0063
Cyp4g1	5,10131	5,00E-05
Vha100-4	5,04874	5,00E-05
wrapper	4,96109	0,0002
Hug	4,85945	0,02415
Mip	4,85306	5,00E-05
dec-1	4,70624	5,00E-05
kek3	4,67599	0,00055
Jon65Aii	4,667	5,00E-05
CG9682	4,61481	5,00E-05
LManVI	4,6086	5,00E-05
Fad2	4,54065	5,00E-05
CG15358	4,53591	0,00515
CG8661	4,53585	0,0066
Dsk	4,52334	0,0021
CG1545	4,49895	0,0279
CG31706	4,4964	5,00E-05
CG6277	4,48948	0,0241
CG31446	4,48612	5,00E-05
Cyp313b1	4,43699	0,00365
CG33296	4,43391	0,01135
ltl	4,42205	5,00E-05
CG42265	4,35318	5,00E-05
CG4409	4,33554	0,0015
dpr15	4,32313	0,0007
Dh44	4,29653	5,00E-05
Nep4	4,28719	5,00E-05
CG14820	4,28649	0,00045
Mal-A7	4,24904	5,00E-05
CG16854	4,23843	0,0003
Nlg2	4,19637	5,00E-05
mag	4,18325	5,00E-05
CG12502	4,14251	5,00E-05
Vml	4,14099	5,00E-05
CG8560	4,13518	5,00E-05
CG7910	4,12582	5,00E-05
Csas	4,12357	0,00485
CG5282	4,11627	5,00E-05
Ms	4,10792	5,00E-05
CG8909	4,10773	5,00E-05
Dscam3	4,06313	5,00E-05
CG16904	4,06272	5,00E-05
CG33012	4,05284	0,0014
CG34040	4,04726	0,0001
mAChR-B	4,04166	5,00E-05
CG7058	4,03446	0,00015
twz	4,03296	0,00105
CG14608	4,02153	0,0003
CG8562	4,01746	5,00E-05
CG15765	3,99937	5,00E-05
Ddr	3,99085	0,0004
CG15254	3,97873	0,00055
Jon25Biii	3,97152	5,00E-05
CG5895	3,9603	5,00E-05
CG34357	3,94967	5,00E-05
CG9686	3,94798	5,00E-05
CG31233	3,94596	5,00E-05
Dop1R2	3,94531	5,00E-05
CG15209	3,94368	0,0005
CG6123	3,93713	5,00E-05
AstA-R2	3,93478	5,00E-05
2mit	3,92986	0,0055
CG32726	3,91257	5,00E-05
Ugt86Dj	3,91128	0,00065
CG9903	3,90796	0,0158
CG10226	3,90129	5,00E-05
CG6660	3,89589	5,00E-05
CG32206	3,89561	5,00E-05
Ptx1	3,89018	5,00E-05
Nplp1	3,85969	5,00E-05
CG2837	3,85582	0,02265
CG43737	3,84739	5,00E-05
CG5549	3,84704	5,00E-05
CG8773	3,83071	5,00E-05
CG34106,beat-IIIa	3,82258	5,00E-05
CG8028	3,79895	5,00E-05
CG32379	3,79865	0,01355
MsR1	3,79712	5,00E-05
CG13177	3,79562	0,0001
Ser6	3,79495	5,00E-05
NimC1	3,78611	5,00E-05
CG17562	3,78424	5,00E-05
CG32506	3,77603	0,00035
hig	3,77458	5,00E-05
CG12531	3,77162	5,00E-05
5-HT1A	3,76446	0,0002
Hml	3,76323	5,00E-05
CG10472	3,75345	5,00E-05
CG15236	3,72869	5,00E-05
CG42313	3,72828	5,00E-05
CG30158	3,72675	5,00E-05
CG14372	3,71757	0,0278
vkg	3,71098	5,00E-05
CadN2	3,7083	5,00E-05
prt	3,69343	0,0021
ana	3,68225	5,00E-05
Elk	3,67559	0,0321
NPF	3,67444	5,00E-05
