gene_name	log2(fold_change)	p_value
CG13084	4,90872	0,0017
DIP-delta	4,53393	0,0027
Toll-6	4,52994	0,00965
Rh2	4,46645	5,00E-05
Vha100-4	4,42537	0,0006
Mip	4,35799	0,00025
Lcp65Ag2	4,22499	0,0078
CG8909	4,18123	5,00E-05
Dsk	4,16285	0,0022
Nrx-1	4,14604	5,00E-05
CG4409	4,14468	0,01655
Nlg2	4,14356	5,00E-05
CG8129	4,10023	0,01575
Odc2	4,08149	0,0208
CG8861	4,08107	0,0003
CG42265	4,07945	0,0002
Jon65Aii	4,07235	5,00E-05
Pepck	4,06887	5,00E-05
CG12502	4,06704	0,00245
5-HT1A	4,01281	0,0004
2mit	3,99649	0,00535
CG15236	3,96299	0,0013
sns	3,95759	0,00025
CG44837	3,9318	0,01055
dpr17	3,92001	0,00095
NetB	3,89727	5,00E-05
Task6	3,88409	0,0001
Nplp1	3,88219	5,00E-05
CG16926	3,88003	5,00E-05
kek3	3,85884	0,00075
CG9377	3,85566	0,0043
hig	3,85435	5,00E-05
Akh	3,85358	0,0197
CG8560	3,8472	5,00E-05
CG14989	3,84642	5,00E-05
CG8401	3,83253	0,00105
nAChRalpha5	3,80434	5,00E-05
CG5246	3,78528	0,0008
beat-IV	3,78492	0,0004
CG12374	3,76005	5,00E-05
Mdr50	3,75842	5,00E-05
CG7058	3,75783	0,00255
CG17217,CG31760,ZnT33D	3,73111	0,0033
beat-Ia	3,72834	0,0077
dpr3	3,72176	0,0007
tey	3,71701	0,0001
CG31706	3,71397	0,0005
CG9686	3,70314	5,00E-05
CG14820	3,68567	0,00365
CG9395	3,67954	0,00015
beat-IIIb	3,67146	0,001
dpr18	3,66834	0,00035
DIP-gamma	3,66735	0,00055
Lkr	3,66431	0,01115
CG34384	3,66096	5,00E-05
SoxN	3,65234	0,00655
CG31446	3,64873	0,00195
alpha-Est2	3,64453	0,0155
Dscam3	3,62695	5,00E-05
CG5549	3,62453	0,00045
Gad1	3,61899	5,00E-05
CG9766	3,61801	0,01905
CG13999	3,61187	0,01345
CG31140	3,61052	5,00E-05
Sema-2b	3,60145	0,0005
CG32506	3,60018	0,0083
CG14024	3,59964	0,0003
CG14274	3,58661	0,0015
CG34357	3,57815	0,00025
CG34114	3,56361	5,00E-05
